pop,author,species,class,lat,lon,geo_meth,num_individuals,gene_diversity,allelic_richness,global_fst,urban,popden,hfi,num_loci,Ne,Ne_lower,Ne_upper
Serrouya_Horseranch,Serrouya,Rangifer_tarandus,mammal,59.02737,-129.069906,ARCgeoref_averagedindividualcoords,7,0.78288,5.642191,0.012095,0,1.039999962,6.10212766,18,NA,19.4,NA
Serrouya_Itchas,Serrouya,Rangifer_tarandus,mammal,52.656972,-124.789888,ARCgeoref_averagedindividualcoords,7,0.647959,3.796703,0.18235,0,1.039999962,0,18,33.5,8.7,NA
Serrouya_Jasper,Serrouya,Rangifer_tarandus,mammal,52.387956,-117.759398,ARCgeoref_averagedindividualcoords,17,0.742791,4.568434,0.103259,0,1.039999962,1.692821369,18,31.5,18.8,72.6
Serrouya_Kennedy,Serrouya,Rangifer_tarandus,mammal,55.002323,-122.618684,ARCgeoref_averagedindividualcoords,6,0.737654,5.113636,0.057076,0,1.039999962,11.56803797,18,128.3,10.4,NA
Serrouya_LevelKawdy,Serrouya,Rangifer_tarandus,mammal,58.938152,-130.873301,ARCgeoref_averagedindividualcoords,9,0.800412,5.776771,0.006947,0,1.039999962,1.023977433,18,1118.3,35.6,NA
Serrouya_Muskwa,Serrouya,Rangifer_tarandus,mammal,58.416382,-124.570827,ARCgeoref_averagedindividualcoords,12,0.76956,5.267188,0.058837,0,1.039999962,0.319884726,18,843,39.8,NA
Serrouya_NCaribooMtnPG,Serrouya,Rangifer_tarandus,mammal,53.301898,-121.192606,ARCgeoref_averagedindividualcoords,14,0.789541,5.254725,0.04059,0,1.039999962,3.199346405,18,403.6,53.1,NA
Serrouya_PinkMountain,Serrouya,Rangifer_tarandus,mammal,57.229734,-123.310332,ARCgeoref_averagedindividualcoords,5,0.72,5,0.062599,0,1.039999962,7.102222222,18,NA,40.4,NA
Serrouya_Purcell,Serrouya,Rangifer_tarandus,mammal,49.377552,-116.158549,ARCgeoref_averagedindividualcoords,16,0.590929,3.568478,0.285242,0,1.383333286,3.086021505,18,49,20.2,NA
Serrouya_Qamanirjuaq,Serrouya,Rangifer_tarandus,mammal,62.249789,-97.106833,ARCgeoref,52,0.856088,6.077365,-0.012861,0,1.039999962,0,18,335.8,131,NA
Serrouya_quintette,Serrouya,Rangifer_tarandus,mammal,54.664744,-121.756925,ARCgeoref_averagedindividualcoords,8,0.755208,5.150086,0.05609,0,1.039999962,2.069620253,18,33.9,12.6,NA
Serrouya_RedEarth,Serrouya,Rangifer_tarandus,mammal,57.087301,-114.046952,ARCgeoref_averagedindividualcoords,30,0.768951,4.855513,0.08371,0,1.039999962,0,18,80.5,47.2,210.9
Serrouya_SouthSelkirk,Serrouya,Rangifer_tarandus,mammal,49.251986,-116.982109,ARCgeoref_averagedindividualcoords,11,0.727732,4.695625,0.106674,0,1.81249994,10.58918919,18,11.5,7,21.3
Serrouya_Spatsizi,Serrouya,Rangifer_tarandus,mammal,57.585795,-129.257079,ARCgeoref_averagedindividualcoords,7,0.792517,5.731713,-6.60E-05,0,1.039999962,6.044247788,18,156.1,16.7,NA
Serrouya_WellsGray,Serrouya,Rangifer_tarandus,mammal,52.49661,-120.727348,ARCgeoref_averagedindividualcoords,33,0.764437,4.70384,0.090489,0,1.039999962,6.046666667,18,53.3,36.5,89.4
Serrouya_WSAR,Serrouya,Rangifer_tarandus,mammal,55.938473,-113.111495,ARCgeoref_averagedindividualcoords,23,0.777673,4.872283,0.068511,0,1.039999962,0,18,148.8,57.8,NA
Shafer_1,Shafer,Oreamnos_americanus,mammal,59.031135,-135.069157,averagedindividualcoords,102,0.52246,4.170596,NA,0,2.059999943,11.1442623,22,111.6,76.8,183.3
SK,Rico,Taxidea_taxus,mammal,50.096782,-106.947738,ARCgeoref,25,0.788999,5.03685,-0.004254,0,1.039999962,25.32749562,20,268.2,85.8,NA
SK_Lait,Lait,Poecile_hudsonicus,bird,53.98,-106.28,coordinates,19,0.837067,6.18767,0.003782,0,1.039999962,9.553772071,6,344.6,13.9,NA
Southern_DurbanJackson,DurbanJackson,Charadrius_montanus,bird,37.954468,-103.077542,coordinates,24,0.477934,2.964439,0.019108,0,1.039999962,10.25431034,14,NA,46.8,NA
SS117,Epps,Ovis_canadensis,mammal,35.132746,-116.16678,PolygonCentroidCoordinates,26,0.618738,3.366082,0.094707,0,1.039999962,10.13140312,16,29,17.5,61.3
Summer_Lake_DurbanJackson,DurbanJackson,Charadrius_vociferus,bird,42.810299,-120.747539,coordinates,24,0.498735,3.488252,-0.003227,0,1.039999962,9.159919028,14,NA,70,NA
Talbot_Baird_Inlet,Talbot,Chen_canagica,bird,60.809055,-164.089081,googlemaps,6,0.338,2.2,-0.025972,0,0.25999999,0,30,NA,NA,NA
Talbot_Chagvan_Bay,Talbot,Chen_canagica,bird,58.784537,-161.712709,googlemaps,13,0.331481,2.307852,0.026026,0,1.039999962,10.25454545,30,NA,25.4,NA
Talbot_Copper_River_Delta,Talbot,Branta_canadensis,bird,60.460252,-144.959253,googlemaps,10,0.449048,3.045796,NA,0,0,20.4962963,19,NA,47.9,NA
Talbot_Izembek_Lagoon,Talbot,Chen_canagica,bird,55.32313,-162.846207,googlemaps,6,0.315278,2.320202,0.009349,0,1.039999962,16.26804124,30,NA,12.7,NA
Talbot_lower_Kashunuk_River_Hock_Slough,Talbot,Branta_hutchinsii,bird,61.273333,-165.629167,googlemaps,6,0.459877,3.162458,0.100112,0,1.039999962,6,18,9.8,2.3,NA
Talbot_Selawik,Talbot,Anser_albifrons,bird,66.605195,-160.006172,googlemaps,10,0.571439,4.01683,NA,0,1.039999962,6.522875817,19,165.9,21.3,NA
TaylorHoffman_Pman_AL,Taylor,Peromyscus_maniculatus,mammal,46.6543,-86.1848,coordinates,19,0.76966,6.236732,0.075541,0,2.055000067,17.69897959,11,39.3,14.5,NA
TaylorHoffman_Pman_AP,Taylor,Peromyscus_maniculatus,mammal,45.1233,-83.8077,coordinates,11,0.777629,6.170679,0.030432,0,6.130000114,26.2205029,11,53.2,10.1,NA
TaylorHoffman_Pman_CP,Taylor,Peromyscus_maniculatus,mammal,46.4159,-84.8332,coordinates,13,0.753283,5.854024,0.075009,0,7.650000215,31.88148148,11,14.3,6.5,54.8
TaylorHoffman_Pman_DA,Taylor,Peromyscus_maniculatus,mammal,45.9348,-86.7543,coordinates,14,0.780395,6.226736,0.06408,0,2.069999933,22.31176471,11,20.9,10.3,82.5
TaylorHoffman_Pman_GO,Taylor,Peromyscus_maniculatus,mammal,46.2821,-89.2326,coordinates,8,0.747159,6.017108,0.07879,0,1.039999962,21.18216319,11,9,3,39
TaylorHoffman_Pman_MA,Taylor,Peromyscus_maniculatus,mammal,46.0816,-84.8083,coordinates,9,0.773288,5.926663,0.050444,0,1.039999962,20.08604207,11,18.3,7.5,414.8
TaylorHoffman_Pman_OS1,Taylor,Peromyscus_maniculatus,mammal,45.2953,-84.4233,coordinates,6,0.763889,6.38292,0.007738,0,5.605000138,16.93653846,11,2.2,1.3,8.7
TaylorHoffman_Pman_SC,Taylor,Peromyscus_maniculatus,mammal,46.2175,-85.9697,coordinates,13,0.778375,6.026912,0.066661,0,1.245999956,9.857414449,11,13.1,7.2,29.3
TaylorHoffman_Pman_WR,Taylor,Peromyscus_maniculatus,mammal,45.2729,-84.4363,coordinates,12,0.756389,5.823694,0.068709,0,5.110000134,15.14448669,11,6.7,2.7,17.7
TO,Rico,Taxidea_taxus,mammal,51.271325,-121.992864,ARCgeoref,30,0.71038,4.108558,0.098803,0,1.039999962,12.34812287,20,30.7,22.7,44.1
UMBS_7,TaylorandHoffmann,Peromyscus_leucopus,mammal,45.5788,-84.7431,coordinates,8,0.8147,6.196603,0.037391,0,12.82666683,36.50383142,10,NA,20.7,NA
UP,Rico,Taxidea_taxus,mammal,46.346121,-86.126993,ARCgeoref,22,0.709357,4.191486,0.094596,0,1.039999962,11.14555766,20,20.7,15,30.4
Utah_DurbanJackson,DurbanJackson,Charadrius_nivosus,bird,41.218352,-112.261081,coordinates,25,0.365588,2.296942,-0.01503,0,93.02333419,20.85773196,15,NA,31.4,NA
V264SITEJ,Rogic,Peromyscus_leucopus,mammal,45.457053,-72.85867,coordinates,21,0.822048,5.815281,0.027825,1,77.93750095,45.89038462,11,28.9,14.3,131.3
V312SITEG,Rogic,Peromyscus_leucopus,mammal,45.495704,-73.06766,coordinates,35,0.853836,6.130534,0.001094,1,118.0500002,51.17399618,11,NA,101.9,NA
V329SITEK,Rogic,Peromyscus_leucopus,mammal,45.552697,-73.1515,coordinates,38,0.830042,5.833556,0.030526,1,356.3424988,61.87283237,11,89.8,39.4,NA
V341SITEH,Rogic,Peromyscus_leucopus,mammal,45.549523,-73.30384,coordinates,37,0.840053,5.785406,0.018103,1,466.1899948,71.53358925,11,143.7,46.9,NA
VAN_Adams,Adams,Poecile_atricapillus,bird,49.2644,-123.0816,coordinates,28,0.732204,3.79321,0.030876,1,3301.552551,87.1300813,14,NA,20.4,NA
Vandergast_muledeer,Vandergast,Odocoileus_hemionus,mammal,32.94458,-116.96219,averagedindividualcoords,73,0.556345,3.164099,NA,1,426.7733294,47.56744186,15,46.7,31.1,77.3
VC,MunshiSouth,Peromyscus_leucopus,mammal,40.900274,-73.88595,googlemaps,24,0.853206,6.193147,0.035458,1,7874.296631,91.92222222,18,12.4,9.8,15.9
Warren_BC,Warren,Puma_concolor,mammal,49.520913,-119.911935,averagedindividualcoords,55,0.570065,3.133288,0.012849,0,3.852500081,13.43439716,18,37.6,28.2,52.5
Warren_WA,Warren,Puma_concolor,mammal,47.88707,-119.658646,averagedindividualcoords,612,0.578066,3.101637,0.007341,0,2.069999933,21.02214022,18,36.6,32.6,40.8
WEBB_4,TaylorandHoffmann,Peromyscus_leucopus,mammal,45.2729,-84.4363,coordinates,5,0.784,10.1,0.031729,0,5.110000134,15.14448669,10,NA,NA,NA
Weckworth_1,Weckworth,Rangifer_tarandus,mammal,52.015961,-117.204368,ARCgeoref,5,0.451429,2.285714,0.423477,0,1.039999962,1.359060403,14,NA,5.1,NA
Weckworth_10,Weckworth,Rangifer_tarandus,mammal,55.652805,-111.000928,ARCgeoref,17,0.740484,4.793625,0.117683,0,1.039999962,9.249612403,14,40,19.2,299.2
Weckworth_11,Weckworth,Rangifer_tarandus,mammal,56.416316,-112.248746,ARCgeoref,32,0.748665,4.781807,0.121085,0,1.039999962,1,14,NA,219.1,NA
Weckworth_12,Weckworth,Rangifer_tarandus,mammal,57.581286,-113.377725,ARCgeoref,30,0.727817,4.434866,0.144631,0,1.039999962,1,14,73.6,39.5,268.6
Weckworth_13,Weckworth,Rangifer_tarandus,mammal,57.746556,-119.105806,ARCgeoref,31,0.771952,5.169022,0.082999,0,1.039999962,0.005839416,14,937.2,87.5,NA
Weckworth_14,Weckworth,Rangifer_tarandus,mammal,59.527413,-116.919153,ARCgeoref,28,0.807489,5.647896,0.050784,0,1.039999962,2.698324022,14,91.1,40.7,NA
Weckworth_15,Weckworth,Rangifer_tarandus,mammal,61.942829,-126.33127,ARCgeoref,22,0.832548,5.944642,0.014581,0,1.039999962,5.541450777,14,100.7,38.3,NA
Weckworth_16,Weckworth,Rangifer_tarandus,mammal,59.76762,-133.651805,ARCgeoref,30,0.805741,5.424733,0.044341,0,1.039999962,7.797503467,14,780.2,91.1,NA
Weckworth_17,Weckworth,Rangifer_tarandus,mammal,63.679875,-128.042564,ARCgeoref,93,0.861663,6.21959,-0.002574,0,1.039999962,6,14,344.4,172.2,2976.9
Weckworth_18,Weckworth,Rangifer_tarandus,mammal,63.510758,-132.225727,ARCgeoref,6,0.774802,5.774892,0.024754,0,1.039999962,5.178791615,14,NA,9.5,NA
Weckworth_19,Weckworth,Rangifer_tarandus,mammal,65.51438,-116.538865,ARCgeoref,20,0.848839,6.355286,-0.009828,0,1.039999962,0,14,173,45.9,NA
Weckworth_2,Weckworth,Rangifer_tarandus,mammal,52.481606,-119.010734,ARCgeoref,24,0.777682,5.048253,0.079784,0,1.039999962,13.32053422,14,67.5,34.3,392.5
Weckworth_20,Weckworth,Rangifer_tarandus,mammal,67.520984,-122.718538,ARCgeoref,20,0.863805,6.655254,-0.022933,0,1.039999962,0,14,108.7,42.5,NA
Weckworth_21,Weckworth,Rangifer_tarandus,mammal,64.469556,-143.44421,ARCgeoref,41,0.865238,6.356802,-0.012663,0,1.039999962,0,14,NA,250.4,NA
Weckworth_22,Weckworth,Rangifer_tarandus,mammal,63.255193,-147.342158,ARCgeoref,19,0.838106,6.105198,0.003206,0,1.039999962,8.004920049,14,238.2,48.3,NA
Weckworth_23,Weckworth,Rangifer_tarandus,mammal,63.425822,-150.859818,ARCgeoref,23,0.841613,6.081975,0.004026,0,1.039999962,6.051851852,14,1174.3,69.1,NA
Weckworth_24,Weckworth,Rangifer_tarandus,mammal,66.820188,-146.106223,ARCgeoref,5,0.774286,6,0.007504,0,1.039999962,6,14,NA,48.7,NA
Weckworth_25,Weckworth,Rangifer_tarandus,mammal,66.060237,-153.902118,ARCgeoref,17,0.778544,5.290782,0.064726,0,1.039999962,5.314669653,14,30.2,15.9,104.2
Weckworth_26,Weckworth,Rangifer_tarandus,mammal,67.043695,-157.800066,ARCgeoref,26,0.861402,6.436207,-0.017114,0,1.039999962,6.72815534,14,78.7,38.3,780.8
Weckworth_27,Weckworth,Rangifer_tarandus,mammal,69.867636,-157.704994,ARCgeoref,20,0.855922,6.425237,-0.016491,0,1.039999962,3.402473834,14,108.6,42,NA
Weckworth_3,Weckworth,Rangifer_tarandus,mammal,52.942373,-118.060015,ARCgeoref,29,0.717846,4.232376,0.157469,1,5.110000134,26.07462687,14,14.2,10.9,18.9
Weckworth_4,Weckworth,Rangifer_tarandus,mammal,53.454934,-119.010734,ARCgeoref,34,0.798628,5.222119,0.061979,0,1.039999962,2.345276873,14,18.5,14.1,24.6
Weckworth_5,Weckworth,Rangifer_tarandus,mammal,53.680775,-117.584656,ARCgeoref,38,0.731005,4.410191,0.140717,0,1.039999962,7.431818182,14,10.7,8.4,13.6
Weckworth_6,Weckworth,Rangifer_tarandus,mammal,54.240114,-119.866381,ARCgeoref,103,0.814975,5.3294,0.053697,0,1.039999962,6.8256,14,49.9,40.8,61.9
Weckworth_7,Weckworth,Rangifer_tarandus,mammal,54.846748,-121.102316,ARCgeoref,52,0.828158,5.607968,0.033187,0,1.245999956,16.21169036,14,164.6,88.1,708.2
Weckworth_8,Weckworth,Rangifer_tarandus,mammal,54.530769,-109.990789,ARCgeoref,26,0.798552,5.58509,0.054861,0,1.039999962,7.802861685,14,229.1,49.5,NA
Weckworth_9,Weckworth,Rangifer_tarandus,mammal,55.119517,-113.591637,ARCgeoref,11,0.586741,3.416742,0.276164,0,1.039999962,5.331240188,14,37.7,9.9,NA
WI_Ww02,Kierepka,Taxidea_taxus,mammal,44.31466,-89.88546,averagedindividualcoords,233,0.811392,5.252187,NA,1,71.3249985,47.94163424,12,377.1,238.4,762.1
WI10,Puckett,Ursus_americanus,mammal,45.732952,-90.564278,averagedindividualcoords,10,0.727333,4.731996,0.100806,0,4.308000088,16.13931298,15,22.9,11.6,92
Wilson_BristolBayLowlands,Wilson,Anser_albifrons,bird,58.86,-157.7,coordinates,18,0.622792,3.980222,0.007229,0,0.831999969,11.60458453,8,NA,16.9,NA
Wilson_Colville_River_Dune_Island,Wilson,Clangula_hyemalis,bird,70.250956,-150.341894,averagedindividualcoords,16,0.557574,3.395328,0.076121,0,1.039999962,8.108108108,12,146.2,16.7,NA
Wilson_CookInlet,Wilson,Anser_albifrons,bird,60.45,-152.47,coordinates,33,0.638074,3.832427,0.005911,0,1.039999962,6.275862069,8,NA,73.3,NA
Wilson_Innoko,Wilson,Anser_albifrons,bird,63.33,-158.42,coordinates,28,0.61918,3.730637,0.031352,0,1.039999962,6,8,NA,NA,NA
Wilson_Nunavut_Queen_Maud_Gulf_Bird_Sanctuary,Wilson,Clangula_hyemalis,bird,67.2333,-100.185211,averagedindividualcoords,9,0.531941,3.328468,0.095733,0,1.039999962,0,12,12.5,2.9,NA
Wilson_Point_Thompson,Wilson,Clangula_hyemalis,bird,70.2056,-146.2961,averagedindividualcoords,5,0.584688,3.75,-0.043627,0,1.039999962,6,12,NA,3.1,NA
Wilson_Yukon–Kuskokwim_Delta,Wilson,Clangula_hyemalis,bird,61.235476,-164.786222,averagedindividualcoords,46,0.585678,3.363721,0.051227,0,1.039999962,0,12,45.4,24.9,116.1
Wilson_Yukon–Kuskokwim_Delta_Aropuk_Lake,Wilson,Clangula_hyemalis,bird,61.1666,-163.8333,averagedindividualcoords,9,0.646701,3.934341,-0.09821,0,1.039999962,0,12,NA,19.1,NA
Wilson_Yukon–Kuskokwim_Delta_Hock_Slough,Wilson,Clangula_hyemalis,bird,61.3333,-165.583,averagedindividualcoords,9,0.593701,3.520766,-0.009985,0,1.039999962,5.928251121,12,NA,287.1,NA
Wilson_Yukon–Kuskokwim_Delta_Kigigak_Island,Wilson,Clangula_hyemalis,bird,60.905968,-165.141673,averagedindividualcoords,7,0.550214,5.970696,-0.021374,0,1.039999962,6,12,NA,NA,NA
Wilson_YukonKuskokwimDelta,Wilson,Anser_albifrons,bird,61.61,-164.6,coordinates,36,0.632997,4.173552,0.019264,0,1.039999962,5.982532751,8,NA,67.1,NA
WO22,Epps,Ovis_canadensis,mammal,35.057292,-115.339556,PolygonCentroidCoordinates,10,0.608437,3.403387,0.08186,0,1.039999962,8.808463252,16,530.8,20.3,NA
Wood_AR,Wood,Rallus_obsoletus,bird,37.740424,-122.208436,coordinates,24,0.474239,2.718577,0.055367,1,3022.139893,79.06481481,9,30.6,8,NA
Wood_Buffalo_National__Park_Cronin_PBWB,Cronin,Bison_bison,mammal,59.610641,-112.96514,googlemaps,30,0.493251,2.870476,0.076465,0,1.039999962,0,29,7.8,6.3,9.6
Wood_CM,Wood,Rallus_obsoletus,bird,37.931817,-122.51259,coordinates,10,0.466495,2.625302,0.042033,1,327.9733289,63.10431655,9,7.1,1.7,NA
Wood_COG,Wood,Rallus_obsoletus,bird,37.633302,-122.151411,coordinates,9,0.431767,3.020306,0.106988,1,2420.589966,79.83815029,9,4.4,1.5,NA
Wood_COL,Wood,Rallus_obsoletus,bird,37.644565,-122.391554,coordinates,27,0.471303,2.798217,0.06352,1,1532.206611,71.5719697,9,2.3,1.4,5.1
Wood_FAB,Wood,Rallus_obsoletus,bird,37.466345,-122.122533,coordinates,7,0.462837,2.757446,0.02459,1,2710.629883,77.51083591,9,NA,2.3,NA
Wood_GC,Wood,Rallus_obsoletus,bird,38.019059,-122.501213,coordinates,10,0.479352,2.692724,0.006951,1,486.8150177,68.43968872,9,78.4,2.5,NA
Wood_LAU,Wood,Rallus_obsoletus,bird,37.470689,-122.123748,coordinates,17,0.478012,2.722205,0.037724,1,2710.629883,77.38924051,9,NA,10.6,NA
WV20,Puckett,Ursus_americanus,mammal,37.908044,-80.908823,averagedindividualcoords,20,0.790524,4.794802,0.085196,0,9.392500162,34.35344828,15,NA,56.1,NA
Y10T-B063T,Dunn,Antilocapra_americana,mammal,47.378986,-114.25928,googlemaps,175,0.672249,4.003406,NA,0,3.416666667,31.20593692,19,39.3,35,44
Yannic_forest,Yannic,Rangifer_tarandus,mammal,50.81742,-68.756148,averagedindividualcoords,283,0.749275,4.624414,0.035617,0,1.039999962,10.59930314,16,133.1,110.5,162.4
Yannic_Gaspesie,Yannic,Rangifer_tarandus,mammal,48.93037,-66.084444,averagedindividualcoords,27,0.593052,3.237738,0.220453,0,1.039999962,9.427027027,16,30.7,17.6,73.6
Yannic_RiviereauxFeuilles,Yannic,Rangifer_tarandus,mammal,58.305584,-74.503636,averagedindividualcoords,77,0.743958,4.844262,0.03547,0,1.039999962,0,16,NA,279.7,NA
Yannic_RiviereGeorge,Yannic,Rangifer_tarandus,mammal,56.725,-63.149857,averagedindividualcoords,70,0.751642,4.872855,0.026489,0,1.039999962,6,16,NA,367.5,NA
Yannic_Torngat,Yannic,Rangifer_tarandus,mammal,58.341304,-63.763043,averagedindividualcoords,23,0.75136,4.927372,0.012331,0,1.039999962,4.365994236,16,NA,113.7,NA
Yellowstone_NP_Cronin_PBWB,Cronin,Bison_bison,mammal,44.569752,-110.60205,googlemaps,28,0.51024,3.015953,0.048851,0,1.039999962,10.72941176,29,119.4,55.2,NA
YT53,Puckett,Ursus_americanus,mammal,61.533593,-134.295407,averagedindividualcoords,15,0.768283,5.100126,0.065691,0,1.039999962,0.347368421,15,31.7,17.9,88.2
