pop,author,species,class,lat,lon,geo_meth,num_individuals,gene_diversity,allelic_richness,global_fst,urban,popden,hfi,num_loci,Ne,Ne_lower,Ne_upper
Phuong_Southern,Phuong,Otospermophilus_beecheyi,mammal,35.786269,-118.969224,averagedindividualcoords,104,0.783464,5.753437,0.069844,0,9.032500148,18.37193764,11,64.8,47.7,92.6
PI113,Epps,Ovis_canadensis,mammal,35.29047,-115.080251,PolygonCentroidCoordinates,25,0.649706,3.472367,0.049539,0,1.383333286,11.12638581,16,23,15.5,37.8
Pierson_COLV,Pierson,Falco_peregrinus,bird,70.446111,-150.357778,GNIS,36,0.453298,2.86082,0.069792,0,1.039999962,12.10471204,12,2502.2,53.1,NA
Pierson_HOPEB,Pierson,Falco_peregrinus,bird,68.166667,-106.25,coordinates,18,0.418414,2.821618,0.126982,0,1.039999962,5.898419865,12,11.6,3.2,77.4
Pierson_KF,Pierson,Falco_peregrinus,bird,59.815708,-150.108571,GNIS,9,0.507081,2.796634,-0.067734,0,1.039999962,9.676161919,12,1.6,0.9,3.3
Pierson_LKAT,Pierson,Falco_peregrinus,bird,59.12749,-109.338212,GNIS,6,0.460648,2.747475,-0.016727,0,1.039999962,0,12,NA,3,NA
Pierson_MACV,Pierson,Falco_peregrinus,bird,69.333333,-134,GNIS,8,0.428186,2.762696,0.075077,0,1.039999962,6,12,2.7,1.4,16.6
Pierson_POR,Pierson,Falco_peregrinus,bird,66.595,-145.308889,GNIS,9,0.393004,2.669222,0.158087,0,1.039999962,7.524644031,12,1075.6,5.4,NA
Pierson_TAN,Pierson,Falco_peregrinus,bird,65.160556,-151.960278,GNIS,9,0.391975,2.748848,0.160291,0,1.039999962,6.278099652,12,41,5,NA
Pierson_YUK,Pierson,Falco_peregrinus,bird,62.598611,-164.8,GNIS,17,0.465825,2.980052,0.027828,0,1.039999962,12.19123506,12,30.2,8.4,NA
PR152,Epps,Ovis_canadensis,mammal,34.931761,-115.548624,PolygonCentroidCoordinates,46,0.665895,3.558735,0.034862,0,1.039999962,7.90625,16,93,53.5,249
Prairie_South_DurbanJackson,DurbanJackson,Charadrius_melodus,bird,51.43,-105.95,coordinates,18,0.370804,2.101102,0.009092,0,1.039999962,23.62308998,8,22.3,2.5,NA
Prentice_Labrador,Prentice,Lynx_canadensis,mammal,54.265,-62.259,ARCgeoref,21,0.739183,4.836671,-0.012105,0,1.039999962,4.8096,15,26.2,15.7,57
